class,id,tempo,valence,liveness,acousticness,danceability,energy,speechiness,instrumentalness
dormir,17dxXweuShPwv4eXAqJMXz,68.322,0.117,0.11,0.91,0.0999,0.0273,0.0405,0.66
dormir,6TYZYNqAoYfE64csvrZyoy,134.727,0.033,0.113,0.977,0.153,0.00274,0.047,0.554
dormir,50dqV0dmuAMzLtEbt09SCp,69.712,0.0315,0.111,0.931,0.141,0.0732,0.043,0.913
dormir,1C9e2HhO9qpMYl1FYg5yBZ,59.071,0.0363,0.105,0.992,0.168,0.00254,0.0483,0.93
dormir,4EzSRiQSPMWyeomPFfl52r,125.515,0.036,0.0996,0.898,0.228,0.0243,0.0486,0.89
dormir,6cdMnYYMiYDrFvNzw1JTwS,141.402,0.0308,0.1,0.836,0.138,0.0393,0.052,0.655
dormir,4vOHJJO8fJudz8JVVG9av6,78.745,0.152,0.103,0.946,0.113,0.0413,0.0432,0.886
dormir,3982hLjimRRPGIfInxlzyh,89.49,0.115,0.1,0.934,0.162,0.172,0.0585,0.845
dormir,5Zlpz6ITS8QTfmFY9RUT4F,137.571,0.037,0.0916,0.945,0.145,0.00148,0.0489,0.809
dormir,6DCLjXH0ak1YerLNW2hwcI,85.095,0.0369,0.074,0.957,0.0896,0.0183,0.0466,0.86
dormir,55MCIV8vcsHVz2ECaveJpT,66.403,0.0717,0.0825,0.983,0.22,0.0174,0.0608,0.806
dormir,2zLMOb6Z01X9PLxl09xJ9t,68.983,0.458,0.119,0.971,0.208,0.0187,0.0661,0.879
dormir,6VoHNgFuX8ElVxU2gjU8Yr,64.713,0.199,0.107,0.0175,0.184,0.331,0.0479,0.865
dormir,4aBW8uatLJcGKI3u7a9TA3,144.611,0.0517,0.103,0.891,0.133,0.0336,0.0498,0.571
dormir,0bPOqdsUdPCOayNdh0ERNW,64.37,0.0727,0.095,0.98,0.148,0.00215,0.0372,0.816
dormir,6D2fyFDu59UbQJO2rgcO9N,75.47,0.0601,0.111,0.819,0.0757,0.00429,0.0553,0.829
dormir,5ixnYv40UHrZQIuqNlOJl0,141.759,0.0351,0.0994,0.98,0.156,0.0363,0.0522,0.697
dormir,37gX0tNcMXBiLIfE4ZwcBn,77.049,0.0602,0.102,0.88,0.109,0.00388,0.0452,0.943
dormir,6AYzbLak1YhYu5litfcTdV,68.978,0.0939,0.101,0.938,0.152,0.012,0.0458,0.805
dormir,6mmma8gbZNJcTkG40Nr2vx,128.695,0.054,0.0876,0.932,0.222,0.0552,0.0483,0.879
dormir,75skmcKUZLzncei8MyjeNs,135.653,0.0379,0.134,0.936,0.154,0.0121,0.041,0.675
dormir,1kh6iEcYhNL6jbMr5BVEVG,81.947,0.0349,0.123,0.993,0.131,0.00333,0.0405,0.966
dormir,10DehqwY6X7wIv3qqSRVDV,136.192,0.0292,0.11,0.89,0.171,0.00773,0.0404,0.828
dormir,4BhIKcDVeOhkToWfl7k9OG,67.952,0.0326,0.096,0.946,0.249,0.108,0.0445,0.834
dormir,1lwYE92fXWS6nebOLO5yTR,70.434,0.039,0.101,0.898,0.195,0.0135,0.0414,0.863
dormir,2lRINOduUGo6lyIMP8kUh4,70.707,0.0279,0.111,0.984,0.218,0.0431,0.0454,0.887
dormir,49a8JjwfyAsDmUxELmsrKC,137.589,0.0324,0.101,0.992,0.226,0.0498,0.0694,0.934
dormir,6eua7DXiCZaYulrVuPI3i7,73.031,0.0909,0.109,0.912,0.171,0.00552,0.0422,0.871
dormir,5b0EbWEsagMNqlSPRk8FXb,64.8,0.0355,0.0819,0.965,0.199,0.0334,0.0441,0.942
dormir,6FAg23nCoYoNOpV7QXc3nb,139.404,0.0392,0.119,0.991,0.165,0.0041,0.0675,0.73
dormir,6SzQkeooDHWPsdSCpRdqgr,72.923,0.0372,0.107,0.986,0.113,0.00817,0.043,0.903
dormir,7GfmMlse4JgozDkVl3NUdO,132.379,0.0376,0.105,0.96,0.16,0.0341,0.0423,0.961
dormir,4w3i820SHA0fOpqmtyAPFu,71.308,0.0386,0.0833,0.986,0.187,0.0549,0.0472,0.958
dormir,1MyNYs0OhpaT6ZAfuKY9Ds,87.969,0.035,0.108,0.927,0.193,0.0678,0.0427,0.968
dormir,2JhxQaPl3FqixF5iWqfbi3,85.348,0.0771,0.112,0.471,0.0852,0.0101,0.0464,0.745
dormir,2aOxIjPc4FNz4uAefCLoIQ,76.434,0.0389,0.102,0.95,0.0797,0.112,0.0486,0.907
